"period","percent_number","ticker","Keyword"
"2018-06-06 03:28:00","278.071","BTC","buy |ticker|"
"2018-06-06 03:28:00","0","BTC","sell |ticker|"
"2018-06-06 03:28:00","5283.35","BTC","|ticker| price"
"2018-06-06 03:28:00","0","BTC","|ticker| crash"
"2018-06-06 03:29:00","21411.5","BTC","|ticker|"
"2018-06-06 03:29:00","0","BTC","|ticker| invest"
"2018-06-06 03:29:00","834.213","BTC","buy |ticker|"
"2018-06-06 03:29:00","278.071","BTC","sell |ticker|"
"2018-06-06 03:29:00","5839.49","BTC","|ticker| price"
"2018-06-06 03:29:00","0","BTC","|ticker| crash"
"2018-06-06 03:30:00","21689.5","BTC","|ticker|"
"2018-06-06 03:30:00","278.071","BTC","|ticker| invest"
"2018-06-06 03:30:00","834.213","BTC","buy |ticker|"
"2018-06-06 03:30:00","0","BTC","sell |ticker|"
"2018-06-06 03:30:00","6117.56","BTC","|ticker| price"
"2018-06-06 03:30:00","0","BTC","|ticker| crash"
"2018-06-06 03:31:00","23636","BTC","|ticker|"
"2018-06-06 03:31:00","0","BTC","|ticker| invest"
"2018-06-06 03:31:00","556.142","BTC","buy |ticker|"
"2018-06-06 03:31:00","0","BTC","sell |ticker|"
"2018-06-06 03:31:00","7507.92","BTC","|ticker| price"
"2018-06-06 03:31:00","0","BTC","|ticker| crash"
"2018-06-06 03:32:00","22245.7","BTC","|ticker|"
"2018-06-06 03:32:00","278.071","BTC","|ticker| invest"
"2018-06-06 03:32:00","278.071","BTC","buy |ticker|"
"2018-06-06 03:32:00","0","BTC","sell |ticker|"
"2018-06-06 03:32:00","7507.92","BTC","|ticker| price"
"2018-06-06 03:32:00","278.071","BTC","|ticker| crash"
"2018-06-06 03:33:00","17796.5","BTC","|ticker|"
"2018-06-06 03:33:00","278.071","BTC","|ticker| invest"
"2018-06-06 03:33:00","556.142","BTC","buy |ticker|"
"2018-06-06 03:33:00","0","BTC","sell |ticker|"
"2018-06-06 03:33:00","5283.35","BTC","|ticker| price"
"2018-06-06 03:33:00","0","BTC","|ticker| crash"
"2018-06-06 03:34:00","20577.3","BTC","|ticker|"
"2018-06-06 03:34:00","0","BTC","|ticker| invest"
"2018-06-06 03:34:00","556.142","BTC","buy |ticker|"
"2018-06-06 03:34:00","0","BTC","sell |ticker|"
"2018-06-06 03:34:00","5283.35","BTC","|ticker| price"
"2018-06-06 03:34:00","0","BTC","|ticker| crash"
"2018-06-06 03:35:00","19465","BTC","|ticker|"
"2018-06-06 03:35:00","0","BTC","|ticker| invest"
"2018-06-06 03:35:00","834.213","BTC","buy |ticker|"
"2018-06-06 03:35:00","278.071","BTC","sell |ticker|"
"2018-06-06 03:35:00","6395.63","BTC","|ticker| price"
"2018-06-06 03:35:00","0","BTC","|ticker| crash"
"2018-06-06 03:36:00","22245.7","BTC","|ticker|"
"2018-06-06 03:36:00","0","BTC","|ticker| invest"
"2018-06-06 03:36:00","556.142","BTC","buy |ticker|"
"2018-06-06 03:36:00","0","BTC","sell |ticker|"
"2018-06-06 03:36:00","5561.42","BTC","|ticker| price"
"2018-06-06 03:36:00","0","BTC","|ticker| crash"
"2018-06-06 03:37:00","21411.5","BTC","|ticker|"
"2018-06-06 03:37:00","0","BTC","|ticker| invest"
"2018-06-06 03:37:00","556.142","BTC","buy |ticker|"
"2018-06-06 03:37:00","0","BTC","sell |ticker|"
"2018-06-06 03:37:00","6673.71","BTC","|ticker| price"
"2018-06-06 03:37:00","0","BTC","|ticker| crash"
"2018-06-06 03:38:00","20299.2","BTC","|ticker|"
"2018-06-06 03:38:00","0","BTC","|ticker| invest"
"2018-06-06 03:38:00","834.213","BTC","buy |ticker|"
"2018-06-06 03:38:00","278.071","BTC","sell |ticker|"
"2018-06-06 03:38:00","6117.56","BTC","|ticker| price"
"2018-06-06 03:38:00","0","BTC","|ticker| crash"
"2018-06-06 03:39:00","20299.2","BTC","|ticker|"
"2018-06-06 03:39:00","0","BTC","|ticker| invest"
"2018-06-06 03:39:00","834.213","BTC","buy |ticker|"
"2018-06-06 03:39:00","278.071","BTC","sell |ticker|"
